D1 Solar LT		D1 LT CPL			D2 LT		Home CPA Transfer		D5					B3 LG							
		2860	1105		7311		7311		71404					80111	29113	1810	7726	41074			
		2861	1106		7395		7395		71405					80112	29114	1813	7704	41075			
		2862	1107		7399		7399		71407					80113	29118	1815	7727	41076			
		2863	1108		7401		7401		71409					80116	29123	1821	7703	41080			
		2864	1111		7407		7407		71416					80117	29128	1822	7728	41085			
		2865	1115		7410		7410		71417					80118	29129	1824	7730	41091			
		2871	1116		7417		7417		71423					80120	29130	1862	7732	41092			
		2872	1118		7423		7423		71424					80121	29133	1863	7733	41095			
		2873	1119		7430		7430		71427					80122	29137	1865	7731	41099			
		2874	1128		7432		7432		71426					80123	29138	1866	8526	43070			
		2875	1129		7436		7436		71428					80124	29142	1867	7734	43072			
		2876	1138		7446		7446		71429					80125	29146	1876	7735	43142			
		2877	1139		7450		7450		71430					80126	29150	1879	7737	43331			
		2878	1144		7451		7451		71432					80127	29152	1886	7738	45001			
		2879	1152		7452		7452		71433					80128	29153	1887	7739	45002			
		2880	1199		7458		7458		71434					80129	29154	1888	7740	45003			
		2881	1223		7463		7463		71438					80130	29160	1890	8736	45004			
		2882	1431		7481		7481		71439					80132	29161	1915	7746	45005			
		2883	1432		7495		7495		71446					80133	29164	1923	7747	45011			
		2885	1434		7601		7601		71447					80134	29166	1940	7748	45012			
		2886	1440		7602		7602		71448					80135	29168	1949	8510	45013			
		2887	1441		7603		7603		71449					80136	29169	1983	8535	45014			
		2888	1450		7604		7604		71452					80137	29170	2021	7750	45015			
		2889	1451		7605		7605		71454					80138	29172	2035	7751	45018			
		2891	1453		7606		7606		71455					80202	29175	2038	7752	45030			
		2892	1460		7607		7607		71456					80203	29180	2048	7753	45032			
		2893	1462		7608		7608		71457					80204	29201	2067	7754	45033			
		2894	1463		7620		7620		71459					80205	29203	2093	7755	45034			
		2895	1464		7621		7621		71461					80206	29204	2155	7756	45036			
		2896	1467		7624		7624		71463					80207	29205	2156	7757	45039			
		2898	1469		7626		7626		71465					80209	29206	2176	7758	45040			
		2901	1470		7627		7627		71466					80210	29209	2179	7701	45041			
		2902	1471		7628		7628		71467					80211	29210	2180	8555	45042			
		2903	1472		7630		7630		71468					80212	29212	2230	7760	45044			
		2904	1473		7631		7631		71469					80214	29223	2330	8750	45050			
		2905	1474		7632		7632		71471					80215	29229	2345	7702	45051			
		2906	1501		7640		7640		71472					80216	29432	2360	7762	45052			
		2907	1503		7641		7641		71474					80218	29501	2366	7763	45053			
		2908	1504		7642		7642		71479					80219	29505	2367	7764	45054			
		2909	1505		7643		7643		71483					80220	29520	2381	7765	45055			
		2910	1506		7644		7644		71485					80221	29530	2420	8005	45056			
		2911	1507		7645		7645		28701					80222	29532	2421	8721	45061			
		2912	1508		7646		7646		28704					80223	29540	2445	8722	45062			
		2914	1509		7647		7647		28708					80224	29541	2446	8723	45063			
		2915	1510		7648		7648		28709					80226	29550	2458	8724	45064			
		2916	1515		7649		7649		28711					80227	29555	2459	8731	45065			
		2917	1516		7650		7650		28712					80228	29560	2460	8732	45066			
		2918	1517		7652		7652		28713					80229	29583	2461	8527	45067			
		2919	1519		7653		7653		28715					80230	29584	2462	8733	45068			
		2920	1520		7656		7656		28716					80231	29591	2464	8701	45069			
		2921	1521		7657		7657		28717					80232	29593	2465	8734	45070			
		8010	1522		7660		7660		28718					80233	29709	2466	8735	45071			
		8022	1523		7661		7661		28719					80234	29718	2467	8050	45101			
		8041	1524		7662		7662		28720					80235	29727	2468	8759	45102			
		8042	1525		7663		7663		28721					80236	29728	2474	8738	45103			
		8505	1526		7666		7666		28723					80237	29741	2476	8533	45105			
		8511	1527		7670		7670		28726					80238	29801	2478	8739	45106			
		8515	1529		7675		7675		28729					80239	29803	2481	8740	45107			
		8518	1532		7676		7676		28730					80241	29805	2482	8741	45111			
		8520	1534		7677		7677		28731					80246	29809	2492	8742	45112			
		8525	1536		7699		7699		28732					80247	29812	2494	8751	45113			
		8530	1537		8005		8005		28734					80249	29817	2532	8752	45114			
		8534	1538		8006		8006		28735					80260	29821	2534	8753	45115			
		8540	1540		8008		8008		28736					80290	29824	2536	8754	45118			
		8541	1541		8037		8037		28739					80301	29828	2540	8755	45119			
		8542	1542		8050		8050		28741					80302	29829	2541	8756	45120			
		8543	1543		8087		8087		28742					80303	29831	2542	8757	45121			
		8544	1545		8092		8092		28743					80304	29832	2543	8758	45122			
		8550	1546		8201		8201		28745					80305	29838	2553	7920	45123			
		8551	1550		8202		8202		28747					80401	29841	2556	7921	45130			
		8556	1560		8203		8203		28748					80403	29842	2557	8502	45131			
		8557	1561		8204		8204		28751					80422	29847	2559	7924	45132			
		8559	1562		8205		8205		28753					80433	29851	2561	8504	45133			
		8560	1564		8210		8210		28754					80439	29853	2562	8805	45135			
		8561	1568		8212		8212		28759					80452	29856	2563	8807	45140			
		8562	1569		8213		8213		28766					80455	29860	2565	7931	45142			
		8640	1570		8214		8214		28768					80465	80002	2571	8821	45144			
		8641	1571		8215		8215		28772					80466	80003	2576	8823	45146			
		8648	1580		8217		8217		28773					80470	80004	2601	7934	45147			
		8803	1581		8218		8218		28774					80481	80005	2630	8844	45148			
		8822	1582		8219		8219		28778					80501	80007	2631	8528	45150			
		8825	1583		8220		8220		28779					80503	80010	2632	7938	45152			
		8834	1586		8221		8221		28783					80504	80011	2633	7939	45153			
		8848	1587		8223		8223		28785					80510	80012	2635	8835	45154			
		8867	1588		8225		8225		28786					80512	80013	2637	8836	45155			
		8868	1590		8226		8226		28787					80513	80014	2641	8853	45156			
		8870	1601		8230		8230		28789					80514	80015	2642	7977	45157			
		8887	1602		8231		8231		28790					80515	80016	2643	7978	45158			
		18036	1603		8232		8232		28791					80516	80017	2644	8869	45159			
		18039	1604		8234		8234		28792					80517	80018	2646	8553	45160			
		18041	1605		8240		8240		28801					80521	80019	2647	8558	45162			
		18054	1606		8241		8241		28803					80524	80020	2648	8873	45164			
		18070	1607		8242		8242		28804					80525	80021	2649	8875	45166			
		18073	1608		8243		8243		28805					80526	80022	2650	8876	45167			
		18074	1609		8244		8244		28806					80528	80023	2651	8880	45168			
		18076	1610		8245		8245		30011					80530	80026	2653	7059	45169			
		18077	1611		8246		8246		30014					80534	80027	2655	7069	45171			
		18081	1612		8247		8247		30018					80535	80030	2657	8890	45172			
		18084	1613		8248		8248		30025					80536	80031	2659	7922	45174			
		18901	1614		8250		8250		30054					80537	80033	2660	7066	45176			
		18902	1615		8251		8251		30501					80538	80045	2661	7016	45177			
		18910	1616		8252		8252		30504					80540	80101	2663	7201	45201			
		18911	1653		8260		8260		30506					80542	80102	2664	7202	45202			
		18912	1654		8264		8264		30507					80543	80103	2667	7207	45203			
		18913	1655		8310		8310		30510					80545	80104	2668	7208	45204			
		18914	1701		8317		8317		30511					80547	80105	2669	7206	45205			
		18915	1702		8319		8319		30516					80549	80106	2670	7023	45206			
		18916	1703		8326		8326		30517					80550	80107	2671	7027	45207			
		18917	1704		8330		8330		30520					80601	80108	2672	7205	45208			
		18918	1705		8340		8340		30521					80602	80109	2673	7033	45209			
		18920	1718		8341		8341		30527					80603	80110	2675	7036	45211			
		18921	1719		8342		8342		30528					80610	80111	2702	7092	45212			
		18922	1720		8346		8346		30529					80611	80112	2713	7974	45213			
		18923	1721		8350		8350		30530					80612	80113	2715	7060	45214			
		18924	1730		8401		8401		30538					80615	80116	2717	7061	45215			
		18925	1731		8402		8402		30542					80620	80117	2718	7062	45216			
		18926	1740		8403		8403		30543					80621	80118	2719	7063	45217			
		18927	1741		8404		8404		30547					80624	80120	2720	7065	45218			
		18928	1742		8405		8405		30548					80631	80121	2721	7203	45219			
		18929	1745		8406		8406		30549					80634	80122	2723	7204	45220			
		18930	1746		8527		8527		30553					80640	80123	2724	7076	45221			
		18931	1747		8533		8533		30554					80642	80124	2725	7081	45222			
		18932	1748		8701		8701		30557					80643	80125	2726	7901	45223			
		18933	1749		8721		8721		30558					80644	80126	2738	7902	45224			
		18934	1752		8722		8722		30564					80645	80127	2739	7083	45225			
		18935	1754		8723		8723		30565					80648	80128	2740	7088	45226			
		18936	1756		8724		8724		30566					80649	80129	2743	7090	45227			
		18938	1757		8731		8731		30567					80650	80130	2744	7091	45229			
		18940	1760		8732		8732		30575					80651	80132	2745	37705	45230			
		18942	1770		8733		8733		30577					80652	80133	2746	37710	45231			
		18943	1772		8734		8734		30598					80653	80134	2747	37716	45232			
		18944	1773		8735		8735		30601					80654	80135	2748	37717	45233			
		18946	1775		8738		8738		30602					80701	80136	2760	37769	45234			
		18947	1776		8739		8739		30605					80705	80137	2762	37828	45235			
		18949	1778		8740		8740		30606					80723	80138	2763	37830	45236			
		18950	1784		8741		8741		30607					80729	80202	2764	37831	45237			
		18951	1801		8742		8742		30619					80733	80203	2766	37701	45238			
		18953	1803		8751		8751		30620					80742	80204	2769	37737	45239			
		18954	1805		8752		8752		30621					80750	80205	2770	37777	45240			
		18955	1807		8753		8753		30622					80754	80206	2771	37801	45241			
		18956	1808		8754		8754		30624					80808	80207	2777	37802	45242			
		18957	1810		8755		8755		30625					80809	80209	2779	37803	45243			
		18958	1812		8756		8756		30627					80817	80210	2780	37804	45244			
		18960	1813		8757		8757		30628					80829	80211	2790	37853	45245			
		18962	1815		8758		8758		30629					80830	80212	2791	37878	45246			
		18963	1821		8759		8759		30630					80831	80214	2804	37882	45247			
		18964	1822		15004		15004		30633					80832	80215	2806	37886	45248			
		18966	1823		15006		15006		30634					80833	80216	2808	37714	45249			
		18968	1824		15007		15007		30635					80835	80218	2809	37729	45250			
		18969	1826		15014		15014		30641					80864	80219	2812	37757	45251			
		18970	1827		15015		15015		30642					80902	80220	2813	37762	45252			
		18971	1830		15017		15017		30643					80903	80221	2814	37766	45253			
		18972	1831		15018		15018		30646					80904	80222	2815	37819	45254			
		18974	1832		15019		15019		30648					80905	80223	2817	37847	45255			
		18976	1833		15020		15020		30650					80906	80224	2818	37715	45258			
		18977	1834		15021		15021		30655					80907	80226	2822	37724	45262			
		18979	1835		15022		15022		30656					80908	80227	2825	37730	45263			
		18980	1840		15024		15024		30660					80909	80228	2826	37752	45264			
		18981	1841		15025		15025		30662					80910	80229	2828	37824	45267			
		18991	1842		15028		15028		30663					80911	80230	2830	37825	45268			
		19001	1843		15030		15030		30666					80915	80231	2831	37879	45269			
		19002	1844		15031		15031		30667					80916	80232	2832	37721	45270			
		19003	1845		15032		15032		30669					80917	80233	2833	37754	45271			
		19006	1850		15033		15033		30677					80918	80234	2835	37902	45273			
		19009	1851		15034		15034		30680					80919	80235	2836	37909	45274			
		19010	1852		15035		15035		30683					80920	80236	2837	37912	45275			
		19012	1853		15036		15036		29105					80921	80237	2838	37914	45277			
		19020	1854		15037		15037		29129					80922	80238	2839	37915	45280			
		19025	1856		15038		15038		29137					80923	80239	2840	37916	45296			
		19027	1860		15044		15044		29146					80924	80241	2841	37917	45298			
		19030	1862		15045		15045		29164					80925	80246	2842	37918	45299			
		19031	1863		15046		15046		29801					80926	80247	2852	37919	45301			
		19034	1864		15047		15047		29803					80927	80249	2857	37920	45302			
		19035	1865		15049		15049		29805					80928	80260	2858	37921	45303			
		19038	1866		15051		15051		29809					80929	80290	2861	37922	45304			
		19040	1867		15053		15053		29821					80930	80301	2864	37923	45305			
		19041	1876		15054		15054		29824					80938	80302	2865	37924	45306			
		19044	1878		15055		15055		29829					80951	80303	2871	37928	45307			
		19046	1879		15056		15056		29831					17003	80304	2872	37931	45308			
		19047	1880		15057		15057		29832					17006	80305	2873	37932	45309			
		19048	1885		15060		15060		29835					17007	80401	2874	37933	45310			
		19049	1886		15063		15063		29838					17011	80403	2875	37934	45311			
		19053	1887		15064		15064		29841					17013	80422	2877	37938	45315			
		19058	1888		15065		15065		29842					17014	80433	2878	37940	45318			
		19067	1889		15067		15067		29845					17015	80439	2879	37996	45320			
		19072	1890		15071		15071		29847					17017	80452	2880	37806	45321			
		19075	1899		15075		15075		29851					17018	80455	2881	37849	45322			
		19085	1901		15076		15076		29853					17019	80465	2882	37742	45324			
		19087	1902		15078		15078		29856					17020	80466	2883	37771	45325			
		19090	1903		15082		15082		29860					17021	80470	2885	37772	45327			
		19096	1904		15084		15084		30426					17022	80481	2886	37774	45328			
		19403	1905		15086		15086		30434					17023	80501	2888	37846	45330			
		19405	1906		15088		15088		30441					17024	80503	2889	37314	45331			
		19406	1907		15090		15090		30442					17025	80504	2891	37354	45332			
		19407	1908		15091		15091		30456					17028	80510	2892	37874	45333			
		19408	1910		15095		15095		30631					17030	80512	2894	37385	45335			
		19422	1913		15096		15096		30668					17032	80513	2902	37885	45336			
		19423	1915		15101		15101		30673					17033	80514	2903	37845	45337			
		19424	1921		15102		15102		30802					17034	80515	2906	37748	45338			
		19426	1922		15104		15104		30803					17035	80516	2907	37763	45339			
		19428	1923		15106		15106		30805					17036	80517	2909	37840	45340			
		19429	1929		15108		15108		30808					17037	80521	2912	37854	45341			
		19430	1930		15110		15110		30809					17038	80524	2914	37738	45342			
		19435	1931		15112		15112		30810					17040	80525	2915	37764	45344			
		19436	1936		15116		15116		30813					17042	80526	2916	37863	45345			
		19437	1937		15120		15120		30814					17043	80528	2917	37868	45346			
		19438	1938		15122		15122		30815					17045	80530	2920	37862	45347			
		19440	1940		15123		15123		30816					17046	80534	2921	37864	45348			
		19441	1944		15126		15126		30817					17047	80535	3907	37876	45349			
		19443	1945		15127		15127		30818					17048	80536	4002	37865	45350			
		19444	1947		15129		15129		30821					17049	80537	4004	37779	45351			
		19446	1949		15130		15130		30823					17050	80538	4005	37807	45352			
		19450	1950		15131		15131		30824					17053	80540	4006	37866	45354			
		19451	1951		15132		15132		30828					17055	80542	4007	37723	45356			
		19453	1952		15133		15133		30830					17057	80543	4014	38555	45358			
		19454	1960		15134		15134		30833					17058	80545	4021	38557	45359			
		19455	1961		15135		15135		30901					17059	80547	4030	38558	45360			
		19456	1965		15136		15136		30904					17061	80549	4038	38571	45361			
		19460	1966		15137		15137		30905					17062	80550	4042	38572	45362			
		19462	1969		15139		15139		30906					17065	80601	4043	38578	45363			
		19464	1970		15140		15140		30907					17067	80602	4046	37303	45365			
		19468	1971		15142		15142		30909					17068	80603	4048	37309	45370			
		19472	1982		15143		15143		70346					17070	80610	4054	37329	45371			
		19473	1983		15144		15144		70449					17073	80611	4061	37331	45373			
		19474	1984		15145		15145		70462					17074	80612	4063	37370	45377			
		19477	1985		15146		15146		70706					17076	80615	4064	37826	45378			
		19478	2018		15147		15147		70710					17078	80620	4070	37322	45380			
		19484	2019		15148		15148		70712					17082	80621	4072	37880	45381			
		19485	2020		15189		15189		70714					17086	80624	4073	37337	45382			
		19486	2021		15201		15201		70715					17087	80631	4074	37070	45383			
		19490	2025		15202		15202		70719					17090	80634	4087	37072	45384			
		19492	2026		15203		15203		70721					17094	80640	4090	37076	45385			
		19504	2027		15204		15204		70722					17098	80642	4092	37086	45388			
		19525	2030		15205		15205		70725					17103	80643	4093	37127	45390			
		62001	2031		15206		15206		70726					17109	80644	4094	37128	45402			
		62002	2032		15207		15207		70729					17111	80645	4096	37129	45403			
		62010	2035		15208		15208		70730					17112	80648	4098	37130	45404			
		62012	2038		15209		15209		70732					17113	80649	4101	37131	45405			
		62018	2040		15210		15210		70733					17201	80650	4102	37132	45406			
		62024	2041		15211		15211		70734					17202	80651	4103	37133	45408			
		62025	2043		15212		15212		70736					17214	80652	4104	37167	45409			
		62026	2044		15213		15213		70737					17217	80653	4105	37066	45410			
		62034	2045		15214		15214		70739					17219	80654	4106	37075	45414			
		62035	2047		15215		15215		70740					17220	80701	4107	37077	45415			
		62040	2048		15216		15216		70747					17221	80705	4112	37024	45416			
		62048	2050		15217		15217		70748					17222	80723	4116	37027	45417			
		62060	2051		15218		15218		70749					17224	80729	4122	37064	45418			
		62207	2052		15219		15219		70752					17225	80733	4123	37135	45419			
		62208	2053		15220		15220		70753					17232	80742	4124	37087	45420			
		62220	2054		15221		15221		70754					17236	80750	6016	37090	45424			
		62221	2055		15222		15222		70755					17237	80754	6029	37122	45426			
		62223	2056		15223		15223		70756					17240	80808	6033	97035	45427			
		62225	2059		15224		15224		70757					17241	80809	6040	97034	45428			
		62226	2060		15225		15225		70759					17244	80817	6041	97086	45429			
		62232	2061		15226		15226		70760					17246	80829	6042	97015	45430			
		62234	2062		15227		15227		70761					17252	80830	6043	97038	45431			
		62236	2065		15228		15228		70762					17257	80831	6066	97089	45432			
		62249	2066		15229		15229		70764					17262	80832	6073	97009	45433			
		62254	2067		15230		15230		70767					17265	80833	6074	97022	45434			
		62258	2070		15231		15231		70769					17266	80835	6082	97070	45439			
		62269	2071		15232		15232		70770					17268	80864	6084	97013	45440			
		62294	2072		15233		15233		70772					17271	80902	6088	97045	45449			
		62298	2081		15234		15234		70773					17301	80903	6109	97004	45458			
		63005	2090		15235		15235		70774					17302	80904	6231	97023	45459			
		63006	2091		15236		15236		70775					17304	80905	6232	97055	45469			
		63010	2093		15237		15237		70776					17307	80906	6237	97068	45612			
		63011	2101		15238		15238		70777					17309	80907	6238	97222	45616			
		63012	2102		15239		15239		70778					17313	80908	6248	97267	45617			
		63013	2103		15240		15240		70780					17314	80909	6415	97036	45618			
		63017	2104		15241		15241		70783					17315	80910	6447	97268	45624			
		63019	2105		15242		15242		70785					17316	80911	6855	97269	45646			
		63021	2106		15243		15243		70787					17319	80915	7002	98660	45650			
		63025	2107		15244		15244		70788					17320	80916	7004	98642	45660			
		63026	2108		15250		15250		70789					17321	80917	7006	98685	45671			
		63028	2109		15251		15251		70791					17322	80918	7009	98663	45679			
		63033	2110		15252		15252		70801					17324	80919	7010	98665	45681			
		63034	2111		15253		15253		70802					17325	80920	7011	98661	45693			
		63038	2112		15254		15254		70803					17327	80921	7012	98686	45697			
		63040	2113		15255		15255		70805					17329	80922	7013	98629	45826			
		63042	2114		15257		15257		70806					17331	80923	7014	98664	45845			
		63043	2115		15258		15258		70807					17339	80924	7016	98662	45846			
		63044	2116		15259		15259		70808					17340	80925	7017	98683	45860			
		63049	2117		15260		15260		70809					17344	80926	7019	98684	45883			
		63052	2118		15261		15261		70810					17345	80927	7020	98604	45999			
		63069	2119		15262		15262		70811					17347	80928	7021	98682	47003			
		63084	2120		15263		15263		70812					17349	80929	7022	98606	47006			
		63088	2121		15264		15264		70813					17350	80930	7023	98601	47010			
		63090	2122		15265		15265		70814					17352	80938	7024	98607	47012			
		63099	2123		15267		15267		70815					17353	80951	7026	98675	47016			
		63105	2124		15268		15268		70816					17356	17003	7027	98671	47018			
		63115	2125		15270		15270		70817					17360	17006	7028	98666	47024			
		63118	2126		15272		15272		70818					17361	17007	7029	98668	47025			
		63122	2127		15274		15274		70819					17362	17011	7030	98687	47030			
		63123	2128		15275		15275		70820					17363	17013	7032	98622	47036			
		63124	2129		15276		15276		70827					17364	17014	7034	97056	47325			
		63125	2130		15277		15277		70836					17365	17015	7035	97054	47353			
		63127	2131		15278		15278		70893					17366	17017	7039	97051	43048			
		63129	2132		15279		15279		35004					17368	17018	7041	97053	43341			
		63130	2133		15281		15281		35005					17370	17019	7042	97018	43804			
		63135	2134		15282		15282		35006					17372	17020	7043	97016	43832			
		63136	2135		15283		15283		35007					17401	17021	7044	97064	43837			
		63137	2136		15285		15285		35013					17402	17022	7045	97048	43840			
		63138	2137		15286		15286		35014					17403	17023	7047	98581	44001			
		63151	2138		15289		15289		35020					17404	17024	7052	98632	44003			
		63301	2139		15290		15290		35022					17406	17025	7054	98609	44004			
		63303	2140		15295		15295		35023					17407	17028	7057	98611	44005			
		63304	2141		15301		15301		35031					17408	17030	7058	98645	44010			
		63366	2142		15310		15310		35032					17501	17032	7066	98626	44011			
		63367	2143		15311		15311		35034					17502	17033	7068	98625	44012			
		63368	2144		15312		15312		35035					17505	17034	7070	98674	44017			
		63369	2145		15313		15313		35040					17509	17035	7071	98649	44021			
		63376	2146		15314		15314		35042					17512	17036	7072	98603	44022			
		63379	2148		15315		15315		35043					17516	17037	7073	98616	44023			
		63385	2149		15316		15316		35045					17517	17038	7074	97231	44024			
		63558	2150		15317		15317		35046					17518	17040	7075	97202	44026			
		63640	2151		15320		15320		35049					17520	17042	7076	97206	44028			
		64001	2152		15321		15321		35051					17522	17043	7082	97215	44030			
		64011	2153		15322		15322		35052					17527	17045	7086	97216	44032			
		64012	2154		15323		15323		35054					17532	17046	7087	97266	44033			
		64013	2155		15324		15324		35060					17535	17047	7090	97236	44035			
		64014	2156		15325		15325		35061					17536	17048	7092	97233	44036			
		64015	2158		15327		15327		35062					17538	17049	7093	97203	44039			
		64016	2160		15329		15329		35063					17540	17050	7094	97210	44040			
		64017	2161		15330		15330		35064					17543	17053	7096	97221	44041			
		64018	2162		15331		15331		35068					17545	17055	7099	97205	44044			
		64019	2163		15332		15332		35070					17547	17057	7103	97219	44045			
		64020	2164		15333		15333		35071					17552	17058	7104	97217	44046			
		64021	2167		15334		15334		35073					17554	17059	7105	97239	44047			
		64022	2168		15336		15336		35074					17555	17061	7107	97209	44048			
		64024	2169		15337		15337		35078					17560	17062	7108	97204	44049			
		64028	2170		15338		15338		35079					17562	17065	7302	97232	44050			
		64029	2171		15339		15339		35080					17563	17067	7303	97212	44052			
		64034	2172		15340		15340		35085					17565	17068	7304	97211	44053			
		64035	2174		15341		15341		35091					17566	17070	7305	97213	44054			
		64036	2176		15342		15342		35094					17572	17073	7306	97218	44055			
		64037	2178		15344		15344		35096					17576	17074	7307	97220	44056			
		64040	2180		15345		15345		35097					17578	17076	7308	97024	44057			
		64048	2181		15346		15346		35111					17579	17078	7310	97030	44060			
		64050	2184		15347		15347		35112					17581	17082	7395	97080	44061			
		64051	2185		15348		15348		35114					17582	17086	7401	97060	44062			
		64052	2186		15349		15349		35115					17584	17087	7407	97201	44064			
		64053	2187		15350		15350		35116					17601	17090	7410	97252	44065			
		64054	2188		15351		15351		35117					17602	17094	7417	97230	44067			
		64055	2189		15352		15352		35118					17603	17098	7423	97227	44068			
		64058	2190		15353		15353		35119					17772	17103	7424	97214	44070			
		64060	2191		15354		15354		35120					17777	17109	7430	97207	44072			
		64061	2192		15357		15357		35121					17801	17111	7432	97208	44073			
		64062	2193		15358		15358		35124					17810	17112	7436	97228	44074			
		64063	2194		15359		15359		35125					17812	17113	7440	97238	44076			
		64064	2196		15360		15360		35126					17813	17201	7442	97240	44077			
		64065	2199		15361		15361		35127					17821	17202	7444	97242	44080			
		64066	2201		15362		15362		35128					17823	17214	7446	97280	44081			
		64067	2203		15363		15363		35130					17824	17217	7450	97282	44082			
		64068	2204		15364		15364		35131					17827	17219	7451	97283	44084			
		64069	2205		15365		15365		35133					17830	17220	7452	97286	44085			
		64070	2206		15366		15366		35135					17834	17221	7457	97290	44086			
		64071	2210		15367		15367		35139					17836	17222	7458	97292	44087			
		64072	2211		15368		15368		35143					17837	17224	7463	97293	44088			
		64073	2212		15370		15370		35146					17840	17225	7470	97294	44089			
		64074	2215		15376		15376		35147					17842	17232	7481	97296	44090			
		64075	2216		15377		15377		35148					17844	17236	7495	97251	44092			
		64076	2217		15378		15378		35160					17845	17237	7498	97253	44093			
		64077	2218		15379		15379		35171					17847	17240	7506	97254	44094			
		64078	2222		15380		15380		35172					17853	17241	7507	97256	44095			
		64079	2228		15412		15412		35173					17855	17244	7512	97119	44096			
		64080	2238		15419		15419		35176					17856	17246	7601	97109	44097			
		64081	2241		15423		15423		35178					17857	17252	7602	97125	44099			
		64082	2246		15427		15427		35180					17860	17257	7603	97116	44101			
		64083	2266		15429		15429		35184					17864	17262	7604	97106	44102			
		64084	2269		15432		15432		35186					17866	17265	7605	97123	44103			
		64085	2295		15434		15434		35187					17867	17266	7606	97133	44104			
		64086	2297		15477		15477		35188					17870	17268	7607	97124	44105			
		64088	2298		15483		15483		35203					17872	17271	7608	97078	44106			
		64089	2301		15501		15501		35204					17876	17301	7620	97007	44107			
		64090	2302		15502		15502		35205					17881	17302	7621	97003	44108			
		64092	2303		15510		15510		35206					17886	17304	7624	97140	44109			
		64093	2304		15520		15520		35207					17889	17307	7626	97006	44110			
		64096	2305		15521		15521		35208					18011	17309	7627	97229	44111			
		64097	2315		15522		15522		35209					19503	17313	7628	97005	44112			
		64098	2322		15530		15530		35210					19504	17314	7630	97224	44113			
		64108	2324		15531		15531		35211					19505	17315	7631	97008	44114			
		64111	2325		15534		15534		35212					19506	17316	7632	97225	44115			
		64112	2327		15536		15536		35213					19507	17319	7640	97223	44116			
		64113	2330		15538		15538		35214					19508	17320	7641	97062	44117			
		64114	2331		15539		15539		35215					19510	17321	7642	97113	44118			
		64116	2332		15541		15541		35216					19512	17322	7643	97291	44119			
		64117	2333		15544		15544		35217					19518	17324	7644	97075	44120			
		64118	2334		15546		15546		35218					19522	17325	7645	97076	44121			
		64119	2337		15547		15547		35221					19526	17327	7646	97298	44122			
		64131	2338		15548		15548		35222					19530	17329	7647	97281	44123			
		64133	2339		15549		15549		35223					19533	17331	7648	97129	44124			
		64136	2340		15550		15550		35224					19534	17339	7649	97077	44125			
		64137	2341		15553		15553		35226					19539	17340	7650	97079	44126			
		64139	2343		15554		15554		35228					19540	17344	7652	97331	44127			
		64145	2344		15555		15555		35229					19543	17345	7653	97321	44128			
		64146	2345		15559		15559		35233					19547	17347	7656	97322	44129			
		64147	2346		15560		15560		35234					19551	17349	7657	97002	44130			
